REGISTRATION DATE,NAME,ADDL CO INFO,ADDRESS 1,ADDRESS 2,CITY,STATE,ZIP
2/5/1990,CITY OF ROCHESTER POLICE DEPT,ATTN: CANINE UNIT/(B6),(B6),261 CHILD STREET,ROCHESTER,NY,14611
7/9/1991,CITY OF DUBLIN,,CANINE UNIT,6565 COMMERCE PARKWAY,DUBLIN,OH,43017
3/22/1991,CAMPBELL CTY SHERIFF'S DEPT,,(B6),600 W BOXELDER RD,GILLETTE,WY,82718
12/11/1986,CHICAGO POLICE DEPARTMENT,CANINE TRAINING UNIT,320 W TOUHY AVE,,DES PLAINES,IL,60018
9/3/2004,CHEMISTRY & PHYSIOLOGICAL,NATIONAL INSTITUTE ON DRUG ABUSE (NIDA),"CPSRB, DBNBR.","6001 EXECUTIVE BLVD., ROOM 4282, MSC 9555",BETHESDA,MD,20892
,87TH SECURITY FORCES SQUARDRON,NCOIC MILITARY WORKING DOG SECTION,BLDG 2301 VANDENBERG AVE,,MC GUIRE AIR FORCE BASE,NJ,08641
3/1/1990,CHATHAM COUNTY SHERIFFS DEPT,K-9 UNIT,1050 CARL GRIFFIN DRIVE,,SAVANNAH,GA,31405
5/4/1988,COMMANDER,,ATTN PROVOST MARSHAL,3623 GRAY ROAD,REDSTONE ARSENAL,AL,35898
10/7/1988,CHIEF PATROL AGENT,ATTN: K9 UNIT,U.S. BORDER PATROL,211 WEST ATEN ROAD,IMPERIAL,CA,92251
6/21/1989,CASTLES K-9,"CASTLE'S K-9, INC.",(B6),1291 LEIDIGH DRIVE,MECHANICSBURG,PA,17055
1/11/1990,COLORADO DEPT OF CORRECTIONS,CANINE UNIT--LT (B6),"CRIMINAL INV DIV, 121 MAIN ST",PO BOX 1010,CANON CITY,CO,81212
10/12/1989,CORAL SPRINGS POLICE DEPT,,CANINE UNIT,2801 CORAL SPRINGS DRIVE,CORAL SPRINGS,FL,33065
,CITY OF TAMPA POLICE,ONE POLICE CENTER,ATTN: (B6),411 N. FRANKLIN STREET,TAMPA,FL,33602
,COMMANDER NAVY REGION SW,NAVAL BASE SAN DIEGO MWD,ATTN: K-9 UNIT,3335 KIDD ST,SAN DIEGO,CA,92136
5/7/1991,CAPE CORAL POLICE DEPARTMENT,,P.O. BOX 150027,1100 CULTURAL PARK BLVD S,CAPE CORAL,FL,33990
5/9/1990,CITY OF KEWANEE,ATTN: K-9 UNIT,POLICE DEPT,401 E. 3RD STREET,KEWANEE,IL,61443
,DEPT OF THE ARMY,,906TH MILITARY WORKING DOG DETACHMENT,BLDG 7211 30TH STREET,FORT RUCKER,AL,36362
,DEPT OF AIR FORCE,,509 SECURITY FORCES / K9,1031 VANDENBURG AVE,WHITEMAN AFB,MO,65305
9/28/1988,QUINCY POLICE DEPARTMENT,QUINCY POLICE DEPARTMENT,339 EAST JEFFERSON STREET,,QUINCY,FL,32351
5/7/1990,(B6),DEPT PHYSIOLOGY & PHARMA,BOWMAN GRAY SCHOOL OF MED,115 S. CHESTNUT ST.,WINSTON-SALEM,NC,27101
5/10/1991,(B6),BAYLOR COLLEGE OF MEDICINE,DARTMENT OF CELL BIOLOGY,ONE BAYLOR PLAZA,HOUSTON,TX,77030
,"DEPARTMENT OF PHARMACOLOGY & SYSTEMS THERAPEUTICS,MOUNT SINAI SCHOOL OF MEDICINE",,BOX 1215,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029
,355 SECURITY POLICE FORCES,,3345 S FIRST ST,ATTN: MILITARY WORKING DO SECTION,DAVIS MONTHAN AFB,AZ,85707
,DOVER AIR FORCE BASE,436TH SECURITY FORCES SQUADRON,MILITARY WORKING DOG SECTION,910 PARIS ST,DOVER AFB,DE,19902
12/21/1990,DURHAM POLICE DEPARTMENT,DURHAM POLICE DEPARTMENT,CANINE PROGRAM C/O (B6),505 W. CHAPEL HILL STREET,DURHAM,NC,27701
9/1/1988,DALLAS POLICE DEPARTMENT,ATTN: B6,K-9 UNIT,7710 AVIATION PLACE SUITE #160,DALLAS,TX,75235
2/15/1989,EUSTIS POLICE DEPARTMENT,ATTN: K-9 UNIT,51 E NORTON AVENUE,P.O. DRAWER 68,EUSTIS,FL,32727
10/23/1985,ESCAMBIA COUNTY SHERIFF'S OFF,,(B6),1700 W. LEONARD ST,PENSACOLA,FL,32501
1/9/1990,EAST HAZEL CREST POLICE DEPT,ATTN: K-9 UNIT,17223 SOUTH THROOP STREET,,EAST HAZEL CREST,IL,60429
4/23/1990,FAIRFAX COUNTY POLICE DEPT,(B6),CANINE SECTION,3911 WOODBURN ROAD,ANNANDALE,VA,22003
,NAVAL BASE VENTURA COUNTY,FORCE PROTECTION CODE N21VW,311 MAIN ROAD,SUITE 1,POINT MUGU NAWC,CA,93042
7/16/1991,(B6),UT HEALTH SCIENCE CENTER,DEPT OF PHARMACOLOGY,7703 FLOYD CURL DRIVE,SAN ANTONIO,TX,78229
11/20/1990,FORT WAYNE POLICE TRAINING CENTER,,7602 PATRIOT CROSSING,ATTN:CANINE SUPERVISOR,FORT WAYNE,IN,46816
2/3/1988,FORT WAINWRIGHT US ARMY,COMMANDER,(B6),2109 LUZON RD,FORT WAINWRIGHT,AK,99703
2/14/1989,FLORIDA HIGHWAY PATROL,,"2900 APALACHEE PKWY,RM B161",MS 43,TALLAHASSEE,FL,32399
,FORT BLISS,513TH MP DETACHMENT,BLDG 1036A,PLEASONTON ROAD,FORT BLISS,TX,79916
2/16/1988,FORT DRUM,COMMANDER,DIRECTORATE OF EMERGENCY SVCS.,10715 MT. BELVEDERE BLVD.,FORT DRUM,NY,13602
,MILITARY WORKING DOG SECTION,,97TH SECURITY FORCES SQUADRON,110 N. 6TH ST.,ALTUS AFB,OK,73523
,"FIELD MUSEUM OF NATURAL,THE",,SCIENCE AND EDUCATION,1400 S. LAKE SHORE DRIVE,CHICAGO,IL,60605
,FORT STEWART COMMANDER,,385TH MILITARY POLICE BATTALION,ATTN K-9 SECTION,FORT STEWART,GA,31314
9/11/1990,FREEPORT POLICE DEPT,K-9 UNIT,320 WEST EXCHANGE STREET,,FREEPORT,IL,61032
,FORT BELVOIR MILITARY POLICE,,MILITARY WORKING DOG SECTION,6080 ABBOTT ROAD,FORT BELVOIR,VA,22060
,(B6),DRUG DETECTION DOGS,50007 ROMONA STREET,P O BOX 524,CABAZON,CA,92230
11/25/1985,GLOBAL TRAINING ACADEMY INC,"GLOBAL TRAINING ACADEMY, INC.",7705 PATTON RD,PO BOX 445,SOMERSET,TX,78069
8/21/1990,GREENVILLE POLICE DEPARTMENT,,3000 LEE STREET,,GREENVILLE,TX,75401
,GOODFELLOW AFB,,MILITARY WORKING DOG SECTION,17TH SECURITY FORCES SQUADRON,SAN ANGELO,TX,76908
,GREENSBORO POLICE DEPARTMENT,,EVIDENCE SECTION,300 S SWING RD,GREENSBORO,NC,27409
,GILLETTE POLICE DEPARTMENT,"B6, CANINE OFFICER",201 EAST 5TH STREET,P. O. BOX 518,GILLETTE,WY,82717
,75 SECURITY FORCES SQUADRON,SECURITY FORCES SQUADRON,MILITARY WORKING DOG SECTION,5830 F AVE BLDG. 408,HILL AFB,UT,84056
,HICKAM AIR FORCE BASE,,647TH SECURITY FORCES/S3D,505 HANGAR AVENUE,HICKAM AFB,HI,96853
8/28/1991,HOUSTON POLICE DEPT NARC DIV,,(B6),3100 N. TERMINAL RD.,HOUSTON,TX,77205
,"IIT RESEARCH INSTITUTE,COMPANY",,10 W 35TH ST,,CHICAGO,IL,60616
,CHIEF,ATTN: K-9 UNIT,"92ND SECURITY FORCES, USAF",2 E ARNOLD STREET,FAIRCHILD AFB,WA,99011
2/14/1990,ILLINOIS STATE POLICE PAWNEE,ATTN: K-9 UNIT,FACILITY,"2376 ACADEMY ROAD, BOX 383A",PAWNEE,IL,62558
7/20/1988,INTERQUEST GROUP,,21900 TOMBALL PARKWAY,,HOUSTON,TX,77070
4/14/1988,JACKSONVILLE POLICE DEPT,,MUNICIPAL BUILDING,200 W DOUGLAS,JACKSONVILLE,IL,62650
10/2/1985,VON SEESTADT KENNELS,,327 N.W. CARR COURT,,LAKE CITY,FL,32055
10/23/1985,JOHNSON MATTHEY INC,,CUSTOM PHARMACEUTICALS DEPART.,2003 NOLTE DRIVE,WEST DEPTFORD,NJ,08066
5/22/1987,K-9 CONCEPTS,,139 ROBICHEAUX ROAD,,BROUSSARD,LA,70518
4/21/1987,HUTCHINSON CORR'L FACILITY,,500 S. REFORMATORY,P O BOX 1568,HUTCHINSON,KS,67504
12/2/1987,PROVOST MARSHALS OFFICE,ATTN: K-9 UNIT- SECURITY BATTALION,BUILDING 2043,BARNETT AVENUE,QUANTICO,VA,22134
,KINGS BAY NAVAL SUBMARINE BASE,NAVAL SECURITY DEPARTMENT,1115 USS HENRY CLAY BLVD,MASA-MRAZ K9 UNIT,KINGS BAY,GA,31547
8/4/1988,KENT COUNTY SHERIFF'S DEPT,,"104 VICKERS DRIVE, UNIT B",,CHESTERTOWN,MD,21620
2/7/1991,KANSAS HIGHWAY PATROL,,(B6),2025 E. IRON,SALINA,KS,67401
12/21/1990,(B6),,(B6),,INMAN,SC,29349
,LANSING CORRECTIONAL FACILITY,,PO BOX 2,301 E. KANSAS ST,LANSING,KS,66043
4/20/1989,LEXINGTON-FAYETTE CTY POLICE,,K-9 UNIT/DRUG ENFORCEMENT SQUA,150 EAST MAIN ST,LEXINGTON,KY,40507
,LAW ENFORCEMENT COMMAND,95TH MILITARY WORKING DOG DET,BOX 339531,K-9 SECTION,FORT LEWIS,WA,98433
6/3/1987,LENEXA KANSAS POLICE DEPT,ATTN: K-9 UNIT,12500 W 87TH STREET,,LENEXA,KS,66215
4/11/1991,(B6),,(B6),,MECHANICSBURG,PA,17055
,60TH SECURITY FORCES SQDN,,S3K,510 AIRLIFT DR BLDG 380A,TRAVIS AFB,CA,94535
1/23/1991,PHILADELPHIA POLICE DEPT,(B6),CANINE UNIT,8501 STATE ROAD,PHILADELPHIA,PA,19136
1/3/1991,LINCOLN CITY POLICE DEPT,,911 PEKIN STREET,,LINCOLN,IL,62656
,"MRIGLOBAL,KC",,425 VOLKER BOULEVARD,,KANSAS CITY,MO,64110
,MAUI POLICE DEPARTMENT,,55 MAHALANI STREET,,WAILUKU,HI,96793
9/3/2004,MALLINCKRODT LLC,,3600 NORTH SECOND STREET,,SAINT LOUIS,MO,63147
,MCCONNELL AIR FORCE BASE,KENNEL MASTER,22ND SECURITY FORCES SQUADRON,53403 KANSAS ST STE 147 BLDG 1115,MCCONNELL AFB,KS,67221
,OFFICE OF THE PROVOST MARSHAL,520 MILITARY WORKING DOG DETACHMENT,ATTN:  PMO OPS (K9),"1366 LYMAN RD., BLDG #3010",SCHOFIELD BARRACKS,HI,96857
,MAXWELL A F B,42D SECURITY FORCES SQUADRON,MILITARY WORKING DOG SECTION,130 W.SELFRIDGE,MONTGOMERY,AL,36112
6/19/1987,MILITARY WORKING DOG SECTION,OFFICE OF THE PROVOST MARSHAL,"PMO K-9 UNIT, SECURITY BN",MCB,CAMP PENDLETON,CA,92055
,MILITARY WORKING DOG SECTION,90TH SECURITY FORCES SQUARDRON,7405 BOOKER ROAD,FRANCIS E. WARREN AFB,CHEYENNE,WY,82005
,MILITARY WORKING DOG SECTION,,MILITARY POLICE OPERATIONS DIV,PROVOST MARSHAL'S OFFICE,CAMP LEJEUNE,NC,28542
,MILITARY WORKING DOG SECTION,,5TH SECURITY FORCES SQUADRON,547 TANKER TRAIL SUITE 113,MINOT AFB,ND,58705
,MARINE CORPS LOGISTICS BASE,CIVILIAN POLICE WORKING DOG SECTION,814 RADFORD BLVD,MARINE CORPS POLICE DEPARTMENT,ALBANY,GA,31704
3/10/1987,MERCER COUNTY SHERIFF'S DEPT,,906 S W 3RD STREET,,ALEDO,IL,61231
12/12/1990,MOUNT AIRY POLICE DEPARTMENT,,150 ROCKFORD STREET,PO BOX 1244,MOUNT AIRY,NC,27030
,MALLINCKRODT LLC,,3600 NORTH SECOND STREET,,SAINT LOUIS,MO,63147
4/11/1990,(B6),,(B6),,VERONA,PA,15147
2/20/1987,MILITARY CANINE PROGRAM,,DES POLICE CANINE,295 CRANE LOOP,FORT BUCHANAN,PR,00934
,NAVAL AIR STATION FALLON SECU,,MILITARY WORKING DOG SECTION,,FALLON,NV,89496
,COMMANDING OFFICER,ATTN:K-9 UNIT,NAVAL BASE KITSAP,1200 SKATE STREET,SILVERDALE,WA,98315
,NAVAL AIR STATION LEMOORE,MWD,SECURITY DETACHMENT N21L,782 FRANKLIN AVENUE,LEMOORE,CA,93246
3/14/1991,"NIDA,INTRAMURAL RESEARCH PROGRAM",B6,BIOMEDICAL RESEARCH  CENTER,"251 BAYVIEW BOULEVARD,  SUITE 200",BALTIMORE,MD,21224
,MWD DRUG DETECTION TEAM,,BLDG 3873,541 JOHN H. TOWERS RD.,PENSACOLA,FL,32508
,"NEW YORK BOTANICAL GARDEN,,.",HERBARIUM,200TH STREET & SOUTHERN BOULEVARD,,BRONX,NY,10458
,NAVAL AIR STATION WHIDBEY ISL,,SECURITY DEPARTMENT (CODE K9),"3605 N CHARLES PORTER AVE, BLDG 994",OAK HARBOR,WA,98278
8/23/1990,NISSEN UNLTD & ASSOCIATES,K-9,(B6),205 VINE STREET,SHREVEPORT,LA,71101
,COMMANDING OFFICER,NAVAL SUPPORT ACTIVITY,5722 INTEGRITY DR BLDG S-237,NSA K9 HANDLER,MILLINGTON,TN,38054
,UNITED STATES MARINE CORPS,MILITARY POLICE DEPARTMENT,ATTN: MWD SECTION,BOX 63062,MCBH KANEOHE BAY,HI,96863
,DIRECTORATE OF EMERGENCY SERVICES,MILITARY WORKING DOG SECTION,31122 CHRISTY AVE,,FORT HUACHUCA,AZ,85613
,OFFICE OF THE PROVOST MARSHAL,,4200 BELLEAU AVE,MCRD PMO K9,SAN DIEGO,CA,92140
,OFFICE OF THE PROVOST MARSHAL,,MARINE CORPS AIR STATION,,BEAUFORT,SC,29904
,OFFUTT AIR FORCE BASE,55TH SECURITY FORCES SQUADRON,"U.S. AIR FORCE, K-9 UNIT",198 BUTLER BLVD.,OFFUTT AFB,NE,68113
,ORANGE COUNTY SHERIFF'S DEPT,,NARCOTICS CANINE TRAINING,550 NORTH FLOWER STREET #208,SANTA ANA,CA,92702
10/20/1988,OSCEOLA COUNTY SHERIFF'S OFC,,K-9 UNIT,2601 E IRLO BRONSON HWY,KISSIMMEE,FL,34744
,ORLANDO POLICE DEPARTMENT,,SPECIAL OPERATIONS DIV K-9,100 S HUGHEY AVE,ORLANDO,FL,32801
10/21/1986,ONONDAGA COUNTY SHERIFFS DEPT,,3301 CESSNA DRIVE,,WARNERS,NY,13164
10/27/1986,(B6),DBA CANINE UNLIMITED,1105 NORTH PEORIA AVENUE,PO BOX 581162,TULSA,OK,74158
3/6/1986,PROVOST MARSHAL OFFICE,ATTN IMLV-ES,410 MCPHERSON AVE.,BLDG 320,FORT LEAVENWORTH,KS,66027
,PROVOST MARSHAL,,US ARMY GARRISON COMMAND FORT KNOX,7224 RAMEY RD.,FORT KNOX,KY,40121
,PENN HILLS POLICE DEPARTMENT,,PENN HILLS POLICE DEPARTMENT,12245 FRANKSTOWN ROAD,PITTSBURGH,PA,15235
,PITTSBURGH POLICE ACADEMY,,1395 WASHINGTON BLVD.,,PITTSBURGH,PA,15206
8/16/1988,PUERTO RICO POLICE DEPARTMENT CANINE DIVISION,"CARR #28, ZONA INDUSTRIAL LUCHETTI, KM 4.2","PARQUE JULIO A. MONAGAS, BAYAMON,PR 00960",HC-01 BOX 2620,LOIZA,PR,00772
3/31/1987,PIMA COUNTY SHERIFF'S DEPT,,K-9 UNIT,1750 EAST BENSON HIGHWAY,TUCSON,AZ,85714
,PROVOST,COMMANDER (B6),ATTN: IMNE-LNW-ES,MWD SECTION,FORT LEONARD WOOD,MO,65473
11/19/1986,PORT ST LUCIE POLICE DEPT,K-9 TRAINER,121 SW PORT ST LUCIE BLVD,BLDG. C,PORT ST LUCIE,FL,34984
,PROVOST MARSHAL,ATTN K-9 SECTION,7023 SPANGLER ST. BLDG 1796,,FORT BENNING,GA,31905
9/3/2004,PAR PHARMACEUTICAL INC,,ONE RAM RIDGE ROAD,,CHESTNUT RIDGE,NY,10977
6/3/1987,PALM BAY POLICE DEPARTMENT,,C/O K9 ADMINISTRATOR,130 MALABAR ROAD SE,PALM BAY,FL,32909
4/6/1987,PINELLAS COUNTY SCHOOL POLICE,ATTN: K-9 UNIT,WALTER POWNALL SERVICE CENTER,11111 SOUTH BELCHER RD,LARGO,FL,33773
,MILITARY WORKING DOG SECTION,,6TH SECURITY FORCES SQUADRON,2505 SOCOM MEMORIAL WAY BLDG 203,TAMPA,FL,33621
,PROVOST MARSHAL,DES,COMMAND,K-9 SECTION,FORT SILL,OK,73503
,DEPARTMENT OF THE ARMY,,DIRECTORATE OF EMERGENCY SERVICES,MILITARY WORKING DOG BRANCH,FORT HOOD,TX,76544
,DIRECTORATE OF EMERGENCY SERVICES,ATTN: (B6),MILITARY WORKING DOG SECTION,BLDG 47814 DAVIS HWY,JBER,AK,99505
8/5/1986,PORTSMOUTH POLICE DEPT,(B6),CANINE UNIT,711 CRAWFORD STREET,PORTSMOUTH,VA,23704
,MILITARY WORKING DOG SECTION,,30 SFS/S3SD,108 COLORADO AVE,VANDENBERG AFB,CA,93437
1/29/1987,ROSEMONT POLICE DEPARTMENT,,9501 DEVON,,ROSEMONT,IL,60018
,RESEARCH TRIANGLE INSTITUTE,(B6),HERMANN BLDG EAST INSTITUTE DR.,ROOM 106,RESEARCH TRIANGLE PARK,NC,27709
11/30/1990,ROMEOVILLE POLICE DEPARTMENT,,1050 WEST ROMEO ROAD,,ROMEOVILLE,IL,60446
8/9/1989,LAKE COUNTY SHERIFF'S OFFICE,ATTN: K-9 UNIT,360 W RUBY STREET,,TAVARES,FL,32778
,ROBINS AIR FORCE BASE,78 SECURITY FORCES SQUADRON,MILITARY WORKING DOG SECTION,250 PEACEKEEPER WAY,WARNER ROBINS,GA,31098
9/3/2004,RESEARCH TRIANGLE INSTITUTE,(B6),HERMANN BLDG EAST INSTITUTE DR.,ROOM 106,RESEARCH TRIANGLE PARK,NC,27709
4/1/1991,R I DEPT OF CORRECTIONS,K-9 UNIT,39 HOWARD AVENUE,,CRANSTON,RI,02920
,(B6),THE AMERICAN UNIVERSITY,RM 209 ASBURY DEPT OF PSYCH,MASS NEBRASKA AVE N.W,WASHINGTON,DC,20016
,SIGMA-ALDRICH INTERNATIONAL GMBH,SIGMA ALDRICH CO LLC,3500 DEKALB STREET,,SAINT LOUIS,MO,63118
7/22/1987,BIRMINGHAM NARCOTIC DETAIL,(B6),114 PEGGY LEE LANE,,BIRMINGHAM,AL,35235
,SHAW AIR FORCE BASE,,20TH SFS/S3D,524 NELSON ST,SHAW AFB,SC,29152
,SUFFOLK COUNTY POLICE DEPT,SPECIAL PATROL BUREAU,CANINE SECTION,2175 SMITHTOWN AVENUE,RONKONKOMA,NY,11779
,SECURITY DEPARTMENT,,NAVAL AIR STATION,10551 D STREET,CORPUS CHRISTI,TX,78419
,412TH SECURITY FORCES SQUADRON,,125 METHUSA ROAD,MILITARY WORKING DOG SECTION,EDWARDS AFB,CA,93524
,AUGUSTA DEPT OF SAFETY,,C/O (B6) CAPT,2100 NORTH OHIO STREET,AUGUSTA,KS,67010
10/22/1990,SECURITY DEPT,,JOINT EXPEDITIONARY BASE LITTLE CREEK/ FORT STORY,1175 NIDER BLVD,VIRGINIA BEACH,VA,23459
,"SRI INTERNATIONAL,.",,ATTN: HEALTH & SAFETY,333 RAVENSWOOD AVENUE,MENLO PARK,CA,94025
3/15/1988,SANFORD POLICE DEPARTMENT,,815 HISTORIC GOLDSBORO BLVD,ATTN: CANINE UNIT TRAINING,SANFORD,FL,32771
,SHEPPARD AIR FORCE BASE,CANINE HANDLER,82 SECURITY POLICE SQUADRON,UNITED STATES AIR FORCE,SHEPPARD AFB,TX,76311
,SIGMA-ALDRICH,,2425 SOUTH SECOND STREET,,SAINT LOUIS,MO,63104
10/26/1989,SECURITY DETACHMENT,MILITARY WORKING DOG DIVISION,1750 TOMCAT BLVD.,BUILDING 320,VIRGINIA BEACH,VA,23460
5/12/1989,SAN BRUNO POLICE DEPARTMENT,,"(B6), CHIEF",1177 HUNTINGTON AVENUE,SAN BRUNO,CA,94066
,SECURITY POLICE DEPT,,NAVAL AIR STATION,,KEY WEST,FL,33040
9/3/2004,SIGMA-ALDRICH,,2425 SOUTH SECOND STREET,,SAINT LOUIS,MO,63104
9/3/2004,SIGMA-ALDRICH MANUFACTURING LLC,,3500 DEKALB STREET,,SAINT LOUIS,MO,63118
,SECTY DEPT PRIMARY AID CUST,COMMANDING OFFICER,M.W.D. DIVISION,PSC 455 BOX 173 FPO AP96540-1070,HAGATNA,GU,96910
,TYNDALL AIR FORCE BASE,K9 SECTION,325TH SECURITY POLICE SQUADRON,515 SUWANNEE AVENUE,TYNDALL AFB,FL,32403
5/12/1987,THE DOG HOUSE INC,,(B6),6701 ANTIRE ROAD,HIGH RIDGE,MO,63049
8/15/1988,U S BORDER PATROL,,CHIEF PATROL AGENT,1970 WEST AJO WAY,TUCSON,AZ,85713
11/19/1990,UNITED STATES BORDER PATROL,CHIEF PATROL AGENT,3120 N MAIN STREET,,LAS CRUCES,NM,88001
8/24/1988,U S BORDER PATROL,,CHIEF PATROL AGENT,3711 MATTOX STREET,EL PASO,TX,79925
,US NAVAL WEAPONS STATION,SECURITY DEPT,"CANINE DIVISION,","BUILDING 702,",YORKTOWN,VA,23691
7/13/1988,U S BORDER PATROL,,CHIEF PATROL AGENT,4035 S AVENUE A,YUMA,AZ,85365
10/13/1988,U S BORDER PATROL,CHIEF PATROL AGENT,2411 BOSWELL RD.,,CHULA VISTA,CA,91914
,U S AIR FORCE (MWD KENNELS),,47TH SECURITY FORCES SQUADRON,355 COLORADO AVE.,LAUGHLIN AFB,TX,78843
,U S AIR FORCE,K-9 -  TSGT (B6),270 - 7TH AVENUE,,MOUNTAIN HOME AFB,ID,83648
,US AIR FORCE,341 SFS,MWD SECTION,"21 77TH NORTH, BUILDING 500",MALMSTROM AFB,MT,59402
,U S ARMY,550TH MILITARY WORKING DOG DETACHMENT,FT BRAGG PROVOST MARSHAL OFFICE,2-7201 REILLY RD,FORT BRAGG,NC,28310
,COMMANDING OFFICER,SEWELLS POINT POLICE PRECINCT K-9,1957 TAUSSIG BLVD,BLDG. CEP-161.,NORFOLK,VA,23511
,UNITED STATES MARINE CORPS,MARINE CORPS POLICE DEPT,MARINE CORPS LOGISTICS BASE,ATTN: MILITARY WORKING DOG SECTION,BARSTOW,CA,92311
,UNITED STATES AIR FORCE,628TH SECURITY FORCES SQUADRON,MILITARY WORKING DOG SECTION,105 SOUTH GRAVES AVENUE,CHARLESTON AFB,SC,29404
11/28/1989,UNION PACIFIC RAILROAD POLICE,SERVICE DOG UNIT,9211 FORNEY ROAD,,DALLAS,TX,75227
6/21/1990,VERO BEACH POLICE DEPARTMENT,,1055 20TH STREET,,VERO BEACH,FL,32960
2/25/1988,VIRGINIA DEPT OF STATE POLICE,,TRAINING DIVISION - CANINE,P.O. BOX 27472,RICHMOND,VA,23261
,71ST SECURITY FORCES SQUADRON,,S3D,138 S. BROWN ROAD,ENID,OK,73705
1/14/1988,VOLUSIA COUNTY SHERIFF DEPT,,ATTN: K-9 DRUG UNIT,951 SINGLETON DR.,DELAND,FL,32720
,WILMINGTON POLICE DEPT,CANINE UNIT,615 BESS ST,,WILMINGTON,NC,28402
,"UNIVERSITY OF SOUTH FLORIDA,RESEARCH",(B6),"MDC 20, RM V1300",12901 BRUCE B. DOWNS BLVD.,TAMPA,FL,33612
2/19/1991,WITMER-TYSON IMPORTS,,ATTN: (B6),3735 HAVEN AVENUE,MENLO PARK,CA,94025
10/16/1990,WHEELING POLICE DEPARTMENT,,1 COMMUNITY BOULEVARD,,WHEELING,IL,60090
9/18/1989,(B6),,EXECUTIVE K-9 SERVICES,22406 N. 90TH AVENUE,PEORIA,AZ,85383
3/14/1991,WOODBURY CTY SHERIFF'S OFFICE,,1600 COUNTY HOME ROAD,,SIOUX CITY,IA,51106
8/14/1990,CENTERRA-SAVANNAH RIVER SITE,"B6, CHIEF, SRS LAW ENFORCEMENT DEPT.","SAVANNAH RIVER SITE, BUILDING 703-1B","K-9 SECTION, PO DRAWER W",AIKEN,SC,29802
1/9/1990,WAYCROSS POLICE DEPARTMENT,(B6),512 OAK STREET,,WAYCROSS,GA,31502
,19TH SECURITY FORCES SQUADRON,,MILITARY WORKING DOG SECTION,LITTLE ROCK AFB,JACKSONVILLE,AR,72099
