"Month","Date","Year","NAME","ADDL.CO.INFO","GeoAddress","City","State"
3,22,1991,"CAMPBELL CTY SHERIFF'S DEPT",NA," 600 W BOXELDER RD, GILLETTE, WY 82718","GILLETTE","WY"
12,11,1986,"CHICAGO POLICE DEPARTMENT","CANINE TRAINING UNIT","320 W TOUHY AVE, DES PLAINES, IL 60018","DES PLAINES","IL"
9,3,2004,"CHEMISTRY & PHYSIOLOGICAL","NATIONAL INSTITUTE ON DRUG ABUSE (NIDA)","CPSRB, DBNBR., 6001 EXECUTIVE BLVD., ROOM 4282, MSC 9555, BETHESDA, MD 20892","BETHESDA","MD"
9,3,2004,"87TH SECURITY FORCES SQUARDRON","NCOIC MILITARY WORKING DOG SECTION","BLDG 2301 VANDENBERG AVE, MC GUIRE AIR FORCE BASE, NJ 8641","MC GUIRE AIR FORCE BASE","NJ"
3,1,1990,"CHATHAM COUNTY SHERIFFS DEPT","K-9 UNIT","1050 CARL GRIFFIN DRIVE, SAVANNAH, GA 31405","SAVANNAH","GA"
5,4,1988,"COMMANDER",NA,"ATTN PROVOST MARSHAL, 3623 GRAY ROAD, REDSTONE ARSENAL, AL 35898","REDSTONE ARSENAL","AL"
10,7,1988,"CHIEF PATROL AGENT","ATTN: K9 UNIT","U.S. BORDER PATROL, 211 WEST ATEN ROAD, IMPERIAL, CA 92251","IMPERIAL","CA"
6,21,1989,"CASTLES K-9","CASTLE'S K-9, INC."," 1291 LEIDIGH DRIVE, MECHANICSBURG, PA 17055","MECHANICSBURG","PA"
1,11,1990,"COLORADO DEPT OF CORRECTIONS","CANINE UNIT--LT (B6)","CRIMINAL INV DIV, 121 MAIN ST, PO BOX 1010, CANON CITY, CO 81212","CANON CITY","CO"
10,12,1989,"CORAL SPRINGS POLICE DEPT",NA,"CANINE UNIT, 2801 CORAL SPRINGS DRIVE, CORAL SPRINGS, FL 33065","CORAL SPRINGS","FL"
10,12,1989,"CITY OF TAMPA POLICE","ONE POLICE CENTER","ATTN: , 411 N. FRANKLIN STREET, TAMPA, FL 33602","TAMPA","FL"
10,12,1989,"COMMANDER NAVY REGION SW","NAVAL BASE SAN DIEGO MWD","ATTN: K-9 UNIT, 3335 KIDD ST, SAN DIEGO, CA 92136","SAN DIEGO","CA"
5,7,1991,"CAPE CORAL POLICE DEPARTMENT",NA,"P.O. BOX 150027, 1100 CULTURAL PARK BLVD S, CAPE CORAL, FL 33990","CAPE CORAL","FL"
5,9,1990,"CITY OF KEWANEE","ATTN: K-9 UNIT","POLICE DEPT, 401 E. 3RD STREET, KEWANEE, IL 61443","KEWANEE","IL"
5,9,1990,"DEPT OF THE ARMY",NA,"906TH MILITARY WORKING DOG DETACHMENT, BLDG 7211 30TH STREET, FORT RUCKER, AL 36362","FORT RUCKER","AL"
5,9,1990,"DEPT OF AIR FORCE",NA,"509 SECURITY FORCES / K9, 1031 VANDENBURG AVE, WHITEMAN AFB, MO 65305","WHITEMAN AFB","MO"
9,28,1988,"QUINCY POLICE DEPARTMENT","QUINCY POLICE DEPARTMENT","339 EAST JEFFERSON STREET, QUINCY, FL 32351","QUINCY","FL"
5,7,1990,"(B6)","DEPT PHYSIOLOGY & PHARMA","BOWMAN GRAY SCHOOL OF MED, 115 S. CHESTNUT ST., WINSTON-SALEM, NC 27101","WINSTON-SALEM","NC"
5,10,1991,"(B6)","BAYLOR COLLEGE OF MEDICINE","DARTMENT OF CELL BIOLOGY, ONE BAYLOR PLAZA, HOUSTON, TX 77030","HOUSTON","TX"
5,10,1991,"DEPARTMENT OF PHARMACOLOGY & SYSTEMS THERAPEUTICS,MOUNT SINAI SCHOOL OF MEDICINE",NA,"BOX 1215, ONE GUSTAVE L LEVY PLACE, NEW YORK, NY 10029","NEW YORK","NY"
5,10,1991,"355 SECURITY POLICE FORCES",NA,"3345 S FIRST ST, ATTN: MILITARY WORKING DO SECTION, DAVIS MONTHAN AFB, AZ 85707","DAVIS MONTHAN AFB","AZ"
5,10,1991,"DOVER AIR FORCE BASE","436TH SECURITY FORCES SQUADRON","MILITARY WORKING DOG SECTION, 910 PARIS ST, DOVER AFB, DE 19902","DOVER AFB","DE"
12,21,1990,"DURHAM POLICE DEPARTMENT","DURHAM POLICE DEPARTMENT","CANINE PROGRAM C/O , 505 W. CHAPEL HILL STREET, DURHAM, NC 27701","DURHAM","NC"
9,1,1988,"DALLAS POLICE DEPARTMENT","ATTN: B6","K-9 UNIT, 7710 AVIATION PLACE SUITE #160, DALLAS, TX 75235","DALLAS","TX"
2,15,1989,"EUSTIS POLICE DEPARTMENT","ATTN: K-9 UNIT","51 E NORTON AVENUE, P.O. DRAWER 68, EUSTIS, FL 32727","EUSTIS","FL"
10,23,1985,"ESCAMBIA COUNTY SHERIFF'S OFF",NA," 1700 W. LEONARD ST, PENSACOLA, FL 32501","PENSACOLA","FL"
1,9,1990,"EAST HAZEL CREST POLICE DEPT","ATTN: K-9 UNIT","17223 SOUTH THROOP STREET, EAST HAZEL CREST, IL 60429","EAST HAZEL CREST","IL"
4,23,1990,"FAIRFAX COUNTY POLICE DEPT","(B6)","CANINE SECTION, 3911 WOODBURN ROAD, ANNANDALE, VA 22003","ANNANDALE","VA"
4,23,1990,"NAVAL BASE VENTURA COUNTY","FORCE PROTECTION CODE N21VW","311 MAIN ROAD, SUITE 1, POINT MUGU NAWC, CA 93042","POINT MUGU NAWC","CA"
7,16,1991,"(B6)","UT HEALTH SCIENCE CENTER","DEPT OF PHARMACOLOGY, 7703 FLOYD CURL DRIVE, SAN ANTONIO, TX 78229","SAN ANTONIO","TX"
11,20,1990,"FORT WAYNE POLICE TRAINING CENTER",NA,"7602 PATRIOT CROSSING, ATTN:CANINE SUPERVISOR, FORT WAYNE, IN 46816","FORT WAYNE","IN"
2,3,1988,"FORT WAINWRIGHT US ARMY","COMMANDER"," 2109 LUZON RD, FORT WAINWRIGHT, AK 99703","FORT WAINWRIGHT","AK"
2,14,1989,"FLORIDA HIGHWAY PATROL",NA,"2900 APALACHEE PKWY,RM B161, MS 43, TALLAHASSEE, FL 32399","TALLAHASSEE","FL"
2,14,1989,"FORT BLISS","513TH MP DETACHMENT","BLDG 1036A, PLEASONTON ROAD, FORT BLISS, TX 79916","FORT BLISS","TX"
2,16,1988,"FORT DRUM","COMMANDER","DIRECTORATE OF EMERGENCY SVCS., 10715 MT. BELVEDERE BLVD., FORT DRUM, NY 13602","FORT DRUM","NY"
2,16,1988,"MILITARY WORKING DOG SECTION",NA,"97TH SECURITY FORCES SQUADRON, 110 N. 6TH ST., ALTUS AFB, OK 73523","ALTUS AFB","OK"
2,16,1988,"FIELD MUSEUM OF NATURAL,THE",NA,"SCIENCE AND EDUCATION, 1400 S. LAKE SHORE DRIVE, CHICAGO, IL 60605","CHICAGO","IL"
2,16,1988,"FORT STEWART COMMANDER",NA,"385TH MILITARY POLICE BATTALION, ATTN K-9 SECTION, FORT STEWART, GA 31314","FORT STEWART","GA"
9,11,1990,"FREEPORT POLICE DEPT","K-9 UNIT","320 WEST EXCHANGE STREET, FREEPORT, IL 61032","FREEPORT","IL"
9,11,1990,"FORT BELVOIR MILITARY POLICE",NA,"MILITARY WORKING DOG SECTION, 6080 ABBOTT ROAD, FORT BELVOIR, VA 22060","FORT BELVOIR","VA"
9,11,1990,"(B6)","DRUG DETECTION DOGS","50007 ROMONA STREET, P O BOX 524, CABAZON, CA 92230","CABAZON","CA"
11,25,1985,"GLOBAL TRAINING ACADEMY INC","GLOBAL TRAINING ACADEMY, INC.","7705 PATTON RD, PO BOX 445, SOMERSET, TX 78069","SOMERSET","TX"
8,21,1990,"GREENVILLE POLICE DEPARTMENT",NA,"3000 LEE STREET, GREENVILLE, TX 75401","GREENVILLE","TX"
8,21,1990,"GOODFELLOW AFB",NA,"MILITARY WORKING DOG SECTION, 17TH SECURITY FORCES SQUADRON, SAN ANGELO, TX 76908","SAN ANGELO","TX"
8,21,1990,"GREENSBORO POLICE DEPARTMENT",NA,"EVIDENCE SECTION, 300 S SWING RD, GREENSBORO, NC 27409","GREENSBORO","NC"
8,21,1990,"GILLETTE POLICE DEPARTMENT","B6, CANINE OFFICER","201 EAST 5TH STREET, P. O. BOX 518, GILLETTE, WY 82717","GILLETTE","WY"
8,21,1990,"75 SECURITY FORCES SQUADRON","SECURITY FORCES SQUADRON","MILITARY WORKING DOG SECTION, 5830 F AVE BLDG. 408, HILL AFB, UT 84056","HILL AFB","UT"
8,21,1990,"HICKAM AIR FORCE BASE",NA,"647TH SECURITY FORCES/S3D, 505 HANGAR AVENUE, HICKAM AFB, HI 96853","HICKAM AFB","HI"
8,28,1991,"HOUSTON POLICE DEPT NARC DIV",NA," 3100 N. TERMINAL RD., HOUSTON, TX 77205","HOUSTON","TX"
8,28,1991,"IIT RESEARCH INSTITUTE,COMPANY",NA,"10 W 35TH ST, CHICAGO, IL 60616","CHICAGO","IL"
8,28,1991,"CHIEF","ATTN: K-9 UNIT","92ND SECURITY FORCES, USAF, 2 E ARNOLD STREET, FAIRCHILD AFB, WA 99011","FAIRCHILD AFB","WA"
2,14,1990,"ILLINOIS STATE POLICE PAWNEE","ATTN: K-9 UNIT","FACILITY, 2376 ACADEMY ROAD, BOX 383A, PAWNEE, IL 62558","PAWNEE","IL"
7,20,1988,"INTERQUEST GROUP",NA,"21900 TOMBALL PARKWAY, HOUSTON, TX 77070","HOUSTON","TX"
4,14,1988,"JACKSONVILLE POLICE DEPT",NA,"MUNICIPAL BUILDING, 200 W DOUGLAS, JACKSONVILLE, IL 62650","JACKSONVILLE","IL"
10,2,1985,"VON SEESTADT KENNELS",NA,"327 N.W. CARR COURT, LAKE CITY, FL 32055","LAKE CITY","FL"
10,23,1985,"JOHNSON MATTHEY INC",NA,"CUSTOM PHARMACEUTICALS DEPART., 2003 NOLTE DRIVE, WEST DEPTFORD, NJ 8066","WEST DEPTFORD","NJ"
5,22,1987,"K-9 CONCEPTS",NA,"139 ROBICHEAUX ROAD, BROUSSARD, LA 70518","BROUSSARD","LA"
4,21,1987,"HUTCHINSON CORR'L FACILITY",NA,"500 S. REFORMATORY, P O BOX 1568, HUTCHINSON, KS 67504","HUTCHINSON","KS"
12,2,1987,"PROVOST MARSHALS OFFICE","ATTN: K-9 UNIT- SECURITY BATTALION","BUILDING 2043, BARNETT AVENUE, QUANTICO, VA 22134","QUANTICO","VA"
12,2,1987,"KINGS BAY NAVAL SUBMARINE BASE","NAVAL SECURITY DEPARTMENT","1115 USS HENRY CLAY BLVD, MASA-MRAZ K9 UNIT, KINGS BAY, GA 31547","KINGS BAY","GA"
8,4,1988,"KENT COUNTY SHERIFF'S DEPT",NA,"104 VICKERS DRIVE, UNIT B, CHESTERTOWN, MD 21620","CHESTERTOWN","MD"
2,7,1991,"KANSAS HIGHWAY PATROL",NA," 2025 E. IRON, SALINA, KS 67401","SALINA","KS"
12,21,1990,"(B6)",NA," , INMAN, SC 29349","INMAN","SC"
12,21,1990,"LANSING CORRECTIONAL FACILITY",NA,"PO BOX 2, 301 E. KANSAS ST, LANSING, KS 66043","LANSING","KS"
4,20,1989,"LEXINGTON-FAYETTE CTY POLICE",NA,"K-9 UNIT/DRUG ENFORCEMENT SQUA, 150 EAST MAIN ST, LEXINGTON, KY 40507","LEXINGTON","KY"
4,20,1989,"LAW ENFORCEMENT COMMAND","95TH MILITARY WORKING DOG DET","BOX 339531, K-9 SECTION, FORT LEWIS, WA 98433","FORT LEWIS","WA"
6,3,1987,"LENEXA KANSAS POLICE DEPT","ATTN: K-9 UNIT","12500 W 87TH STREET, LENEXA, KS 66215","LENEXA","KS"
4,11,1991,"(B6)",NA," , MECHANICSBURG, PA 17055","MECHANICSBURG","PA"
4,11,1991,"60TH SECURITY FORCES SQDN",NA,"S3K, 510 AIRLIFT DR BLDG 380A, TRAVIS AFB, CA 94535","TRAVIS AFB","CA"
1,23,1991,"PHILADELPHIA POLICE DEPT","(B6)","CANINE UNIT, 8501 STATE ROAD, PHILADELPHIA, PA 19136","PHILADELPHIA","PA"
1,3,1991,"LINCOLN CITY POLICE DEPT",NA,"911 PEKIN STREET, LINCOLN, IL 62656","LINCOLN","IL"
1,3,1991,"MRIGLOBAL,KC",NA,"425 VOLKER BOULEVARD, KANSAS CITY, MO 64110","KANSAS CITY","MO"
1,3,1991,"MAUI POLICE DEPARTMENT",NA,"55 MAHALANI STREET, WAILUKU, HI 96793","WAILUKU","HI"
9,3,2004,"MALLINCKRODT LLC",NA,"3600 NORTH SECOND STREET, SAINT LOUIS, MO 63147","SAINT LOUIS","MO"
9,3,2004,"MCCONNELL AIR FORCE BASE","KENNEL MASTER","22ND SECURITY FORCES SQUADRON, 53403 KANSAS ST STE 147 BLDG 1115, MCCONNELL AFB, KS 67221","MCCONNELL AFB","KS"
9,3,2004,"OFFICE OF THE PROVOST MARSHAL","520 MILITARY WORKING DOG DETACHMENT","ATTN:  PMO OPS (K9), 1366 LYMAN RD., BLDG #3010, SCHOFIELD BARRACKS, HI 96857","SCHOFIELD BARRACKS","HI"
9,3,2004,"MAXWELL A F B","42D SECURITY FORCES SQUADRON","MILITARY WORKING DOG SECTION, 130 W.SELFRIDGE, MONTGOMERY, AL 36112","MONTGOMERY","AL"
6,19,1987,"MILITARY WORKING DOG SECTION","OFFICE OF THE PROVOST MARSHAL","PMO K-9 UNIT, SECURITY BN, MCB, CAMP PENDLETON, CA 92055","CAMP PENDLETON","CA"
6,19,1987,"MILITARY WORKING DOG SECTION","90TH SECURITY FORCES SQUARDRON","7405 BOOKER ROAD, FRANCIS E. WARREN AFB, CHEYENNE, WY 82005","CHEYENNE","WY"
6,19,1987,"MILITARY WORKING DOG SECTION",NA,"MILITARY POLICE OPERATIONS DIV, PROVOST MARSHAL'S OFFICE, CAMP LEJEUNE, NC 28542","CAMP LEJEUNE","NC"
6,19,1987,"MILITARY WORKING DOG SECTION",NA,"5TH SECURITY FORCES SQUADRON, 547 TANKER TRAIL SUITE 113, MINOT AFB, ND 58705","MINOT AFB","ND"
6,19,1987,"MARINE CORPS LOGISTICS BASE","CIVILIAN POLICE WORKING DOG SECTION","814 RADFORD BLVD, MARINE CORPS POLICE DEPARTMENT, ALBANY, GA 31704","ALBANY","GA"
3,10,1987,"MERCER COUNTY SHERIFF'S DEPT",NA,"906 S W 3RD STREET, ALEDO, IL 61231","ALEDO","IL"
12,12,1990,"MOUNT AIRY POLICE DEPARTMENT",NA,"150 ROCKFORD STREET, PO BOX 1244, MOUNT AIRY, NC 27030","MOUNT AIRY","NC"
12,12,1990,"MALLINCKRODT LLC",NA,"3600 NORTH SECOND STREET, SAINT LOUIS, MO 63147","SAINT LOUIS","MO"
4,11,1990,"(B6)",NA," , VERONA, PA 15147","VERONA","PA"
2,20,1987,"MILITARY CANINE PROGRAM",NA,"DES POLICE CANINE, 295 CRANE LOOP, FORT BUCHANAN, PR 934","FORT BUCHANAN","PR"
2,20,1987,"NAVAL AIR STATION FALLON SECU",NA,"MILITARY WORKING DOG SECTION, FALLON, NV 89496","FALLON","NV"
2,20,1987,"COMMANDING OFFICER","ATTN:K-9 UNIT","NAVAL BASE KITSAP, 1200 SKATE STREET, SILVERDALE, WA 98315","SILVERDALE","WA"
2,20,1987,"NAVAL AIR STATION LEMOORE","MWD","SECURITY DETACHMENT N21L, 782 FRANKLIN AVENUE, LEMOORE, CA 93246","LEMOORE","CA"
3,14,1991,"NIDA,INTRAMURAL RESEARCH PROGRAM","B6","BIOMEDICAL RESEARCH  CENTER, 251 BAYVIEW BOULEVARD,  SUITE 200, BALTIMORE, MD 21224","BALTIMORE","MD"
3,14,1991,"MWD DRUG DETECTION TEAM",NA,"BLDG 3873, 541 JOHN H. TOWERS RD., PENSACOLA, FL 32508","PENSACOLA","FL"
3,14,1991,"NEW YORK BOTANICAL GARDEN,,.","HERBARIUM","200TH STREET & SOUTHERN BOULEVARD, BRONX, NY 10458","BRONX","NY"
3,14,1991,"NAVAL AIR STATION WHIDBEY ISL",NA,"SECURITY DEPARTMENT (CODE K9), 3605 N CHARLES PORTER AVE, BLDG 994, OAK HARBOR, WA 98278","OAK HARBOR","WA"
8,23,1990,"NISSEN UNLTD & ASSOCIATES","K-9"," 205 VINE STREET, SHREVEPORT, LA 71101","SHREVEPORT","LA"
8,23,1990,"COMMANDING OFFICER","NAVAL SUPPORT ACTIVITY","5722 INTEGRITY DR BLDG S-237, NSA K9 HANDLER, MILLINGTON, TN 38054","MILLINGTON","TN"
8,23,1990,"UNITED STATES MARINE CORPS","MILITARY POLICE DEPARTMENT","ATTN: MWD SECTION, BOX 63062, MCBH KANEOHE BAY, HI 96863","MCBH KANEOHE BAY","HI"
8,23,1990,"DIRECTORATE OF EMERGENCY SERVICES","MILITARY WORKING DOG SECTION","31122 CHRISTY AVE, FORT HUACHUCA, AZ 85613","FORT HUACHUCA","AZ"
8,23,1990,"OFFICE OF THE PROVOST MARSHAL",NA,"4200 BELLEAU AVE, MCRD PMO K9, SAN DIEGO, CA 92140","SAN DIEGO","CA"
8,23,1990,"OFFICE OF THE PROVOST MARSHAL",NA,"MARINE CORPS AIR STATION, BEAUFORT, SC 29904","BEAUFORT","SC"
8,23,1990,"OFFUTT AIR FORCE BASE","55TH SECURITY FORCES SQUADRON","U.S. AIR FORCE, K-9 UNIT, 198 BUTLER BLVD., OFFUTT AFB, NE 68113","OFFUTT AFB","NE"
8,23,1990,"ORANGE COUNTY SHERIFF'S DEPT",NA,"NARCOTICS CANINE TRAINING, 550 NORTH FLOWER STREET #208, SANTA ANA, CA 92702","SANTA ANA","CA"
10,20,1988,"OSCEOLA COUNTY SHERIFF'S OFC",NA,"K-9 UNIT, 2601 E IRLO BRONSON HWY, KISSIMMEE, FL 34744","KISSIMMEE","FL"
10,20,1988,"ORLANDO POLICE DEPARTMENT",NA,"SPECIAL OPERATIONS DIV K-9, 100 S HUGHEY AVE, ORLANDO, FL 32801","ORLANDO","FL"
10,21,1986,"ONONDAGA COUNTY SHERIFFS DEPT",NA,"3301 CESSNA DRIVE, WARNERS, NY 13164","WARNERS","NY"
10,27,1986,"(B6)","DBA CANINE UNLIMITED","1105 NORTH PEORIA AVENUE, PO BOX 581162, TULSA, OK 74158","TULSA","OK"
3,6,1986,"PROVOST MARSHAL OFFICE","ATTN IMLV-ES","410 MCPHERSON AVE., BLDG 320, FORT LEAVENWORTH, KS 66027","FORT LEAVENWORTH","KS"
3,6,1986,"PROVOST MARSHAL",NA,"US ARMY GARRISON COMMAND FORT KNOX, 7224 RAMEY RD., FORT KNOX, KY 40121","FORT KNOX","KY"
3,6,1986,"PENN HILLS POLICE DEPARTMENT",NA,"PENN HILLS POLICE DEPARTMENT, 12245 FRANKSTOWN ROAD, PITTSBURGH, PA 15235","PITTSBURGH","PA"
3,6,1986,"PITTSBURGH POLICE ACADEMY",NA,"1395 WASHINGTON BLVD., PITTSBURGH, PA 15206","PITTSBURGH","PA"
8,16,1988,"PUERTO RICO POLICE DEPARTMENT CANINE DIVISION","CARR #28, ZONA INDUSTRIAL LUCHETTI, KM 4.2","PARQUE JULIO A. MONAGAS, BAYAMON,PR 00960, HC-01 BOX 2620, LOIZA, PR 772","LOIZA","PR"
3,31,1987,"PIMA COUNTY SHERIFF'S DEPT",NA,"K-9 UNIT, 1750 EAST BENSON HIGHWAY, TUCSON, AZ 85714","TUCSON","AZ"
3,31,1987,"PROVOST","COMMANDER (B6)","ATTN: IMNE-LNW-ES, MWD SECTION, FORT LEONARD WOOD, MO 65473","FORT LEONARD WOOD","MO"
11,19,1986,"PORT ST LUCIE POLICE DEPT","K-9 TRAINER","121 SW PORT ST LUCIE BLVD, BLDG. C, PORT ST LUCIE, FL 34984","PORT ST LUCIE","FL"
11,19,1986,"PROVOST MARSHAL","ATTN K-9 SECTION","7023 SPANGLER ST. BLDG 1796, FORT BENNING, GA 31905","FORT BENNING","GA"
9,3,2004,"PAR PHARMACEUTICAL INC",NA,"ONE RAM RIDGE ROAD, CHESTNUT RIDGE, NY 10977","CHESTNUT RIDGE","NY"
6,3,1987,"PALM BAY POLICE DEPARTMENT",NA,"C/O K9 ADMINISTRATOR, 130 MALABAR ROAD SE, PALM BAY, FL 32909","PALM BAY","FL"
4,6,1987,"PINELLAS COUNTY SCHOOL POLICE","ATTN: K-9 UNIT","WALTER POWNALL SERVICE CENTER, 11111 SOUTH BELCHER RD, LARGO, FL 33773","LARGO","FL"
4,6,1987,"MILITARY WORKING DOG SECTION",NA,"6TH SECURITY FORCES SQUADRON, 2505 SOCOM MEMORIAL WAY BLDG 203, TAMPA, FL 33621","TAMPA","FL"
4,6,1987,"PROVOST MARSHAL","DES","COMMAND, K-9 SECTION, FORT SILL, OK 73503","FORT SILL","OK"
4,6,1987,"DEPARTMENT OF THE ARMY",NA,"DIRECTORATE OF EMERGENCY SERVICES, MILITARY WORKING DOG BRANCH, FORT HOOD, TX 76544","FORT HOOD","TX"
4,6,1987,"DIRECTORATE OF EMERGENCY SERVICES","ATTN: (B6)","MILITARY WORKING DOG SECTION, BLDG 47814 DAVIS HWY, JBER, AK 99505","JBER","AK"
8,5,1986,"PORTSMOUTH POLICE DEPT","(B6)","CANINE UNIT, 711 CRAWFORD STREET, PORTSMOUTH, VA 23704","PORTSMOUTH","VA"
8,5,1986,"MILITARY WORKING DOG SECTION",NA,"30 SFS/S3SD, 108 COLORADO AVE, VANDENBERG AFB, CA 93437","VANDENBERG AFB","CA"
1,29,1987,"ROSEMONT POLICE DEPARTMENT",NA,"9501 DEVON, ROSEMONT, IL 60018","ROSEMONT","IL"
1,29,1987,"RESEARCH TRIANGLE INSTITUTE","(B6)","HERMANN BLDG EAST INSTITUTE DR., ROOM 106, RESEARCH TRIANGLE PARK, NC 27709","RESEARCH TRIANGLE PARK","NC"
11,30,1990,"ROMEOVILLE POLICE DEPARTMENT",NA,"1050 WEST ROMEO ROAD, ROMEOVILLE, IL 60446","ROMEOVILLE","IL"
8,9,1989,"LAKE COUNTY SHERIFF'S OFFICE","ATTN: K-9 UNIT","360 W RUBY STREET, TAVARES, FL 32778","TAVARES","FL"
8,9,1989,"ROBINS AIR FORCE BASE","78 SECURITY FORCES SQUADRON","MILITARY WORKING DOG SECTION, 250 PEACEKEEPER WAY, WARNER ROBINS, GA 31098","WARNER ROBINS","GA"
9,3,2004,"RESEARCH TRIANGLE INSTITUTE","(B6)","HERMANN BLDG EAST INSTITUTE DR., ROOM 106, RESEARCH TRIANGLE PARK, NC 27709","RESEARCH TRIANGLE PARK","NC"
4,1,1991,"R I DEPT OF CORRECTIONS","K-9 UNIT","39 HOWARD AVENUE, CRANSTON, RI 2920","CRANSTON","RI"
4,1,1991,"(B6)","THE AMERICAN UNIVERSITY","RM 209 ASBURY DEPT OF PSYCH, MASS NEBRASKA AVE N.W, WASHINGTON, DC 20016","WASHINGTON","DC"
4,1,1991,"SIGMA-ALDRICH INTERNATIONAL GMBH","SIGMA ALDRICH CO LLC","3500 DEKALB STREET, SAINT LOUIS, MO 63118","SAINT LOUIS","MO"
7,22,1987,"BIRMINGHAM NARCOTIC DETAIL","(B6)","114 PEGGY LEE LANE, BIRMINGHAM, AL 35235","BIRMINGHAM","AL"
7,22,1987,"SHAW AIR FORCE BASE",NA,"20TH SFS/S3D, 524 NELSON ST, SHAW AFB, SC 29152","SHAW AFB","SC"
7,22,1987,"SUFFOLK COUNTY POLICE DEPT","SPECIAL PATROL BUREAU","CANINE SECTION, 2175 SMITHTOWN AVENUE, RONKONKOMA, NY 11779","RONKONKOMA","NY"
7,22,1987,"SECURITY DEPARTMENT",NA,"NAVAL AIR STATION, 10551 D STREET, CORPUS CHRISTI, TX 78419","CORPUS CHRISTI","TX"
